Democrat Strength Rating,State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance
19,Massachusetts,1,12,Richard Neal,D,"211,790",0,"5,110",97.60%,0.00%,2.40%,97.60%,20.30%,N/A,"344,412",63.00%,x,Obama ,Clinton,Solid D,
120,Florida,5,12,Al Lawson,D,"180,527","89,799",0,66.80%,33.20%,0.00%,33.60%,25.40%,8.20%,"311,972",86.70%,x,Obama ,Clinton,Solid D,
134,Connecticut,1,12,John Larson,D,"175,087","96,024","3,029",63.90%,35.00%,1.10%,28.80%,23.10%,5.70%,"329,238",83.30%,x,Obama ,Clinton,Solid D,
128,California,41,12,Mark Takano,D,"108,227","58,021",0,65.10%,34.90%,0.00%,30.20%,27.90%,2.30%,"206,961",80.30%,x,Obama ,Clinton,Solid D,
12,Pennsylvania,18,13,Mike Doyle,D,"231,472",0,0,100.00%,0.00%,0.00%,100.00%,26.80%,N/A,"361,913",64.00%,x,Obama ,Clinton,Solid D,
101,Maryland,3,13,John Sarbanes,D,"202,407","82,774","7,699",69.10%,28.30%,2.60%,40.80%,30.90%,9.90%,"345,565",84.80%,x,Obama ,Clinton,Solid D,
126,New Jersey,1,13,Donald Norcross,D,"169,628","87,617","6,173",64.40%,33.30%,2.30%,31.10%,24.50%,6.60%,"329,187",80.00%,x,Obama ,Clinton,Solid D,
127,Pennsylvania,5,13,Mary Gay Scanlon,D,"198,639","106,075",0,65.20%,34.80%,0.00%,30.40%,28.20%,2.20%,"367,453",82.90%,x,Obama ,Clinton,Solid D,
137,Arizona,3,13,Raul Grijalva,D,"114,650","64,868",0,63.90%,36.10%,0.00%,27.70%,29.50%,-1.80%,"211,797",84.80%,x,Obama ,Clinton,Solid D,
130,California,47,13,Alan Lowenthal,D,"143,354","77,682",0,64.90%,35.10%,0.00%,29.70%,31.50%,-1.80%,"259,263",85.30%,x,Obama ,Clinton,Solid D,
47,Mississippi,2,14,Bennie Thompson,D,"158,921",0,"62,458",71.80%,0.00%,28.20%,71.80%,28.40%,N/A,"291,419",76.00%,x,Obama ,Clinton,Solid D,
114,Ohio,9,14,Marcy Kaptur,D,"157,219","74,670",48,67.80%,32.20%,0.00%,35.60%,22.20%,13.40%,"301,656",76.90%,x,Obama ,Clinton,Solid D,
104,Michigan,12,14,Debbie Dingell,D,"200,588","85,115","8,925",68.10%,28.90%,3.00%,39.20%,26.20%,13.00%,"340,042",86.60%,x,Obama ,Clinton,Solid D,
119,Rhode Island,1,14,David Cicilline,D,"116,099","57,567",417,66.70%,33.10%,0.20%,33.60%,24.90%,8.70%,"219,493",79.30%,x,Obama ,Clinton,Solid D,
112,Minnesota,4,14,Betty McCollum,D,"216,865","97,747","14,003",66.00%,29.70%,4.30%,36.20%,30.60%,5.60%,"367,654",89.40%,x,Obama ,Clinton,Solid D,
108,Maryland,8,14,Jamie Raskin,D,"217,679","96,525","5,126",68.20%,30.20%,1.60%,37.90%,33.30%,4.60%,"369,004",86.50%,x,Obama ,Clinton,Solid D,
107,California,53,14,Susan Davis,D,"185,667","83,127",0,69.10%,30.90%,0.00%,38.10%,34.90%,3.20%,"310,373",86.60%,x,Obama ,Clinton,Solid D,
95,Vermont,AL,15,Peter Welch,D,"188,547","70,705","13,199",69.20%,26.00%,4.80%,43.30%,26.40%,16.90%,"315,077",86.50%,x,Obama ,Clinton,Solid D,
93,Texas,35,15,Lloyd Doggett,D,"138,278","50,553","5,236",71.30%,26.00%,2.70%,45.20%,33.30%,11.90%,"202,033",96.10%,x,Obama ,Clinton,Solid D,
115,Nevada,1,15,Dina Titus,D,"100,707","46,978","4,516",66.20%,30.90%,3.00%,35.30%,29.00%,6.30%,"196,841",77.30%,x,Obama ,Clinton,Solid D,
94,Virginia,11,15,Gerry Connolly,D,"219,191","83,023","6,051",71.10%,26.90%,2.00%,44.20%,38.90%,5.30%,"361,492",85.30%,x,Obama ,Clinton,Solid D,
106,California,46,15,Lou Correa,D,"102,278","45,638",0,69.10%,30.90%,0.00%,38.30%,38.00%,0.30%,"182,597",81.00%,x,Obama ,Clinton,Solid D,
2,California,27,16,Judy Chu,D,"202,636",0,0,100.00%,0.00%,0.00%,100.00%,37.60%,N/A,"264,466",76.60%,x,Obama ,Clinton,Solid D,
25,New York,6,16,Grace Meng,D,"111,646",0,"11,209",90.90%,0.00%,9.10%,90.90%,32.80%,N/A,"208,665",58.90%,x,Obama ,Clinton,Solid D,
23,Virginia,3,16,Bobby Scott,D,"198,615",0,"19,107",91.20%,0.00%,8.80%,91.20%,31.50%,N/A,"325,478",66.90%,x,Obama ,Clinton,Solid D,
100,New Jersey,9,16,Bill Pascrell,D,"140,832","57,854","1,730",70.30%,28.90%,0.90%,41.40%,31.20%,10.20%,"276,523",72.50%,x,Obama ,Clinton,Solid D,
96,Maryland,5,16,Steny Hoyer,D,"213,796","82,361","8,052",70.30%,27.10%,2.60%,43.20%,33.80%,9.40%,"365,068",83.30%,x,Obama ,Clinton,Solid D,
111,New Jersey,12,16,Bonnie Watson Coleman,D,"173,334","79,041",0,68.70%,31.30%,0.00%,37.40%,33.20%,4.20%,"314,721",80.20%,x,Obama ,Clinton,Solid D,
102,California,33,16,Ted Lieu,D,"219,091","93,769",0,70.00%,30.00%,0.00%,40.10%,41.30%,-1.20%,"353,897",88.40%,x,Obama ,Clinton,Solid D,
81,Hawaii,1,17,Ed Case,D,"134,650","42,498","7,063",73.10%,23.10%,3.80%,50.00%,32.50%,17.50%,"209,300",88.00%,x,Obama ,Clinton,Solid D,
83,North Carolina,4,17,David Price,D,"247,067","82,052","12,284",72.40%,24.00%,3.60%,48.30%,40.30%,8.00%,"423,656",80.60%,x,Obama ,Clinton,Solid D,
103,North Carolina,1,17,G.K. Butterfield,D,"190,457","82,218",0,69.80%,30.20%,0.00%,39.70%,37.40%,2.30%,"361,229",75.50%,x,Obama ,Clinton,Solid D,
99,Texas,16,17,Veronica Escobar,D,"124,437","49,127","8,190",68.50%,27.00%,4.50%,41.40%,40.30%,1.10%,"194,603",93.40%,x,Obama ,Clinton,Solid D,
110,California,32,17,Grace Napolitano,D,"121,759","55,272",0,68.80%,31.20%,0.00%,37.60%,38.90%,-1.30%,"220,046",80.50%,x,Obama ,Clinton,Solid D,
109,California,38,17,Linda Sanchez,D,"139,188","62,968",0,68.90%,31.10%,0.00%,37.70%,39.50%,-1.80%,"248,271",81.40%,x,Obama ,Clinton,Solid D,
14,Wisconsin,2,18,Mark Pocan,D,"309,116",0,38,100.00%,0.00%,0.00%,100.00%,36.30%,N/A,"418,192",73.90%,x,Obama ,Clinton,Solid D,
77,Massachusetts,5,18,Katherine Clark,D,"236,243","74,856",225,75.90%,24.00%,0.10%,51.80%,42.90%,8.90%,"379,720",82.00%,x,Obama ,Clinton,Solid D,
91,North Carolina,12,18,Alma Adams,D,"203,974","75,164",0,73.10%,26.90%,0.00%,46.10%,39.80%,6.30%,"362,147",77.10%,x,Obama ,Clinton,Solid D,
89,California,30,18,Brad Sherman,D,"191,573","69,420",0,73.40%,26.60%,0.00%,46.80%,43.40%,3.40%,"302,821",86.20%,x,Obama ,Clinton,Solid D,
88,Illinois,9,18,Jan Schakowsky,D,"213,368","76,983",0,73.50%,26.50%,0.00%,47.00%,44.50%,2.50%,"344,539",84.30%,x,Obama ,Clinton,Solid D,
67,Hawaii,2,19,Tulsi Gabbard,D,"153,271","44,850",0,77.40%,22.60%,0.00%,54.70%,31.80%,22.90%,"219,637",90.20%,x,Obama ,Clinton,Solid D,
86,Ohio,3,19,Joyce Beatty,D,"181,575","65,040",62,73.60%,26.40%,0.00%,47.20%,38.90%,8.30%,"314,301",78.50%,x,Obama ,Clinton,Solid D,
78,Texas,29,19,Sylvia Garcia,D,"88,188","28,098","1,208",75.10%,23.90%,1.00%,51.10%,45.60%,5.50%,"133,934",87.70%,x,Obama ,Clinton,Solid D,
98,South Carolina,6,19,Jim Clyburn,D,"144,765","58,282","3,386",70.10%,28.20%,1.60%,41.90%,37.40%,4.50%,"264,993",77.90%,x,Obama ,Clinton,Solid D,
105,California,35,19,Norma Torres,D,"103,420","45,604",0,69.40%,30.60%,0.00%,38.80%,40.80%,-2.00%,"188,611",79.00%,x,Obama ,Clinton,Solid D,
17,Alabama,7,20,Terri Sewell,D,"185,010",0,"4,153",97.80%,0.00%,2.20%,97.80%,41.20%,N/A,"294,433",64.20%,x,Obama ,Clinton,Solid D,
76,Georgia,13,20,David Scott,D,"223,157","69,760",93,76.20%,23.80%,0.00%,52.40%,44.50%,7.90%,"301,531",97.20%,x,Obama ,Clinton,Solid D,
73,Illinois,5,20,Mike Quigley,D,"213,992","65,134",5,76.70%,23.30%,0.00%,53.30%,46.00%,7.30%,"331,056",84.30%,x,Obama ,Clinton,Solid D,
92,California,15,20,Eric Swalwell,D,"177,989","65,940",0,73.00%,27.00%,0.00%,45.90%,44.90%,1.00%,"289,926",84.10%,x,Obama ,Clinton,Solid D,
38,California,5,21,Mike Thompson,D,"205,860",0,"55,158",78.90%,0.00%,21.10%,78.90%,44.60%,N/A,"306,625",85.10%,x,Obama ,Clinton,Solid D,
1,California,6,21,Doris Matsui,D,"201,939",0,0,100.00%,0.00%,0.00%,100.00%,44.00%,N/A,"248,121",81.40%,x,Obama ,Clinton,Solid D,
13,Washington,9,21,Adam Smith,D,"240,567",0,0,100.00%,0.00%,0.00%,100.00%,47.10%,N/A,"291,632",82.50%,x,Obama ,Clinton,Solid D,
79,Colorado,1,21,Diana DeGette,D,"272,886","85,207","11,622",73.80%,23.00%,3.10%,50.80%,45.80%,5.00%,"401,981",92.00%,x,Obama ,Clinton,Solid D,
84,California,11,21,Mark DeSaulnier,D,"204,369","71,312",0,74.10%,25.90%,0.00%,48.30%,47.60%,0.70%,"320,522",86.00%,x,Obama ,Clinton,Solid D,
75,Virginia,8,21,Don Beyer,D,"247,137","76,899",712,76.10%,23.70%,0.20%,52.40%,51.80%,0.60%,"373,446",87.00%,x,Obama ,Clinton,Solid D,
71,California,2,22,Jared Huffman,D,"243,081","72,576",0,77.00%,23.00%,0.00%,54.00%,45.20%,8.80%,"348,791",90.50%,x,Obama ,Clinton,Solid D,
97,California,51,22,Juan Vargas,D,"109,527","44,301",0,71.20%,28.80%,0.00%,42.40%,49.00%,-6.60%,"205,852",74.70%,x,Obama ,Clinton,Solid D,
31,Arizona,7,23,Ruben Gallego,D,"113,044",301,"18,706",85.60%,0.20%,14.20%,85.40%,48.30%,N/A,"167,183",79.00%,x,Obama ,Clinton,Solid D,
34,California,20,23,Jimmy Panetta,D,"183,677",0,"42,044",81.40%,0.00%,18.60%,81.40%,46.80%,N/A,"258,177",87.40%,x,Obama ,Clinton,Solid D,
63,California,28,23,Adam Schiff,D,"196,662","54,272",0,78.40%,21.60%,0.00%,56.70%,49.80%,6.90%,"289,254",86.80%,x,Obama ,Clinton,Solid D,
69,Texas,33,23,Marc Veasey,D,"90,805","26,120","2,299",76.20%,21.90%,1.90%,54.30%,49.10%,5.20%,"129,867",91.80%,x,Obama ,Clinton,Solid D,
82,California,18,23,Anna Eshoo,D,"225,142","77,096",0,74.50%,25.50%,0.00%,49.00%,53.20%,-4.20%,"335,138",90.20%,x,Obama ,Clinton,Solid D,
11,New York,16,24,Eliot Engel,D,"182,044",0,0,100.00%,0.00%,0.00%,100.00%,52.20%,N/A,"285,395",63.80%,x,Obama ,Clinton,Solid D,
74,Oregon,3,24,Earl Blumenauer,D,"279,019","76,187","29,120",72.60%,19.80%,7.60%,52.80%,46.70%,6.10%,"412,761",93.10%,x,Obama ,Clinton,Safe D,
62,Georgia,4,24,Hank Johnson,D,"227,717","61,092",0,78.80%,21.20%,0.00%,57.70%,53.10%,4.60%,"298,663",96.70%,x,Obama ,Clinton,Solid D,
85,California,19,24,Zoe Lofgren,D,"162,496","57,823",0,73.80%,26.20%,0.00%,47.50%,51.40%,-3.90%,"257,624",85.50%,x,Obama ,Clinton,Solid D,
36,Louisiana,2,25,Cedric Richmond,D,"190,182",0,"45,800",80.60%,0.00%,19.40%,80.60%,52.70%,N/A,"329,648",71.60%,x,Obama ,Clinton,Solid D,
61,Pennsylvania,2,25,Brendan Boyle,D,"159,600","42,382",0,79.00%,21.00%,0.00%,58.00%,48.00%,10.00%,"283,972",71.10%,x,Obama ,Clinton,Solid D,
70,Wisconsin,4,25,Gwen Moore,D,"206,487","59,091","7,170",75.70%,21.70%,2.60%,54.00%,51.50%,2.50%,"312,481",87.30%,x,Obama ,Clinton,Solid D,
80,California,17,25,Ro Khanna,D,"159,105","52,057",0,75.30%,24.70%,0.00%,50.70%,53.20%,-2.50%,"249,775",84.50%,x,Obama ,Clinton,Solid D,
52,New York,10,26,Jerrold Nadler,D,"173,095","37,619",0,82.10%,17.90%,0.00%,64.30%,58.90%,5.40%,"264,801",79.60%,x,Obama ,Clinton,Solid D,
66,Maryland,7,26,Elijah Cummings,D,"202,345","56,266","6,099",76.40%,21.30%,2.30%,55.20%,52.50%,2.70%,"323,954",81.70%,x,Obama ,Clinton,Solid D,
64,Minnesota,5,26,Ilhan Omar,D,"267,703","74,440","1,215",78.00%,21.70%,0.40%,56.30%,54.70%,1.60%,"374,560",91.70%,x,Obama ,Clinton,Solid D,
58,New Jersey,8,27,Albio Sires,D,"119,881","28,725","4,849",78.10%,18.70%,3.20%,59.40%,54.20%,5.20%,"229,953",66.70%,x,Obama ,Clinton,Solid D,
72,Illinois,1,27,Bobby Rush,D,"189,560","50,960","17,365",73.50%,19.80%,6.70%,53.70%,53.20%,0.50%,"329,221",78.30%,x,Obama ,Clinton,Solid D,
59,California,14,27,Jackie Speier,D,"211,384","55,439",0,79.20%,20.80%,0.00%,58.40%,58.60%,-0.20%,"298,322",89.40%,x,Obama ,Clinton,Solid D,
68,Texas,18,27,Sheila Jackson Lee,D,"138,704","38,368","7,260",75.20%,20.80%,3.90%,54.40%,56.30%,-1.90%,"206,135",89.40%,x,Obama ,Clinton,Solid D,
57,Tennessee,9,28,Steve Cohen,D,"145,139","34,901","1,436",80.00%,19.20%,0.80%,60.70%,57.30%,3.40%,"224,115",81.00%,x,Obama ,Clinton,Solid D,
60,Maryland,4,28,Anthony Brown,D,"209,642","53,327","5,614",78.10%,19.90%,2.10%,58.20%,57.10%,1.10%,"325,668",82.50%,x,Obama ,Clinton,Solid D,
27,Texas,9,29,Al Green,D,"136,256",0,"16,745",89.10%,0.00%,10.90%,89.10%,61.20%,N/A,"191,513",79.90%,x,Obama ,Clinton,Solid D,
24,Texas,30,29,Eddie Bernice Johnson,D,"166,784",0,"16,390",91.10%,0.00%,8.90%,91.10%,60.80%,N/A,"220,711",83.00%,x,Obama ,Clinton,Solid D,
50,New York,14,29,Alexandria Ocasio-Cortez,D,"110,318","19,202","11,604",78.20%,13.60%,8.20%,64.60%,57.60%,7.00%,"195,883",72.00%,x,Obama ,Clinton,Solid D,
54,Missouri,1,29,Lacy Clay,D,"219,781","45,867","8,727",80.10%,16.70%,3.20%,63.40%,58.00%,5.40%,"320,522",85.60%,x,Obama ,Clinton,Solid D,
55,Illinois,2,29,Robin Kelly,D,"190,684","44,567",0,81.10%,18.90%,0.00%,62.10%,58.60%,3.50%,"305,228",77.10%,x,Obama ,Clinton,Solid D,
56,California,29,29,Tony Cardenas,D,"124,697","29,995",0,80.60%,19.40%,0.00%,61.20%,60.90%,0.30%,"196,196",78.80%,x,Obama ,Clinton,Solid D,
65,California,43,29,Maxine Waters,D,"152,272","43,780",0,77.70%,22.30%,0.00%,55.30%,61.70%,-6.40%,"234,060",83.80%,x,Obama ,Clinton,Solid D,
53,Michigan,14,30,Brenda Lawrence,D,"214,334","45,899","4,761",80.90%,17.30%,1.80%,63.60%,60.90%,2.70%,"318,900",83.10%,x,Obama ,Clinton,Solid D,
6,Florida,20,31,Alcee Hastings,D,"202,659",0,165,100.00%,0.00%,0.00%,100.00%,62.10%,N/A,"288,812",70.20%,x,Obama ,Clinton,Solid D,
43,New York,12,31,Carolyn Maloney,D,"217,430","30,446","3,726",86.40%,12.10%,1.50%,74.30%,69.00%,5.30%,"310,302",81.10%,x,Obama ,Clinton,Solid D,
33,Michigan,13,32,Rashida Tlaib,D,"165,355",0,"30,944",84.20%,0.00%,15.80%,84.20%,60.60%,N/A,"265,457",73.90%,x,Obama ,Clinton,Solid D,
51,Ohio,11,32,Marcia Fudge,D,"206,138","44,486",36,82.20%,17.70%,0.00%,64.50%,63.50%,1.00%,"323,308",77.50%,x,Obama ,Clinton,Solid D,
41,California,40,33,Lucille Roybal-Allard,D,"93,938",0,"27,511",77.30%,0.00%,22.70%,77.30%,69.50%,N/A,"164,714",73.70%,x,Obama ,Clinton,Solid D,
45,Illinois,4,33,Chuy Garcia,D,"143,895","22,294",0,86.60%,13.40%,0.00%,73.20%,68.30%,4.90%,"211,143",78.70%,x,Obama ,Clinton,Solid D,
49,Washington,7,33,Pramila Jayapal,D,"329,800","64,881",0,83.60%,16.40%,0.00%,67.10%,69.80%,-2.70%,"415,979",94.90%,x,Obama ,Clinton,Solid D,
8,Florida,24,34,Frederica Wilson,D,0,0,0,100.00%,0.00%,0.00%,100.00%,67.20%,N/A,"266,851",0.00%,x,Obama ,Clinton,Solid D,
9,Georgia,5,34,John Lewis,D,"275,406",0,0,100.00%,0.00%,0.00%,100.00%,73.10%,N/A,"305,755",90.10%,x,Obama ,Clinton,Solid D,
16,Massachusetts,7,34,Ayanna Pressley,D,"216,559",0,"3,852",98.30%,0.00%,1.70%,98.30%,71.20%,N/A,"306,116",72.00%,x,Obama ,Clinton,Solid D,
37,New York,9,34,Yvette Clarke,D,"181,455","20,901",779,89.30%,10.30%,0.40%,79.00%,68.60%,10.40%,"255,357",79.50%,x,Obama ,Clinton,Solid D,
46,California,34,35,Jimmy Gomez,D,"110,195",0,"41,711",72.50%,0.00%,27.50%,72.50%,72.80%,N/A,"184,601",82.30%,x,Obama ,Clinton,Solid D,
3,California,44,35,Nanette Barragan,D,"143,322",0,0,100.00%,0.00%,0.00%,100.00%,70.80%,N/A,"197,802",72.50%,x,Obama ,Clinton,Solid D,
20,New York,8,36,Hakeem Jeffries,D,"180,376",0,"11,028",94.20%,0.00%,5.80%,94.20%,70.80%,N/A,"256,102",74.70%,x,Obama ,Clinton,Solid D,
40,New Jersey,10,36,Donald Payne Jr.,D,"175,253","20,191","4,715",87.60%,10.10%,2.40%,77.50%,72.40%,5.10%,"274,361",73.00%,x,Obama ,Clinton,Solid D,
10,New York,5,37,Gregory Meeks,D,"160,500",0,0,100.00%,0.00%,0.00%,100.00%,72.80%,N/A,"247,766",64.80%,x,Obama ,Clinton,Solid D,
39,California,37,37,Karen Bass,D,"210,555","25,823",0,89.10%,10.90%,0.00%,78.20%,76.10%,2.10%,"276,134",85.60%,x,Obama ,Clinton,Solid D,
44,California,12,37,Nancy Pelosi,D,"275,292","41,780",0,86.80%,13.20%,0.00%,73.60%,76.60%,-3.00%,"362,965",87.40%,x,Obama ,Clinton,Solid D,
21,New York,7,38,Nydia Velazquez,D,"146,687",0,"10,410",93.40%,0.00%,6.60%,93.40%,76.10%,N/A,"205,733",76.40%,x,Obama ,Clinton,Solid D,
42,Illinois,7,38,Danny Davis,D,"215,746","30,497",0,87.60%,12.40%,0.00%,75.20%,77.30%,-2.10%,"313,933",78.40%,x,Obama ,Clinton,Solid D,
28,California,13,40,Barbara Lee,D,"260,580",0,"34,257",88.40%,0.00%,11.60%,88.40%,79.30%,N/A,"339,391",86.90%,x,Obama ,Clinton,Solid D,
30,Pennsylvania,3,41,Dwight Evans,D,"287,610","20,387",0,93.40%,6.60%,0.00%,86.80%,83.90%,2.90%,"373,594",82.40%,x,Obama ,Clinton,Solid D,
26,New York,13,43,Adriano Espaillat,D,"180,035","10,268",0,94.60%,5.40%,0.00%,89.20%,86.40%,2.80%,"253,675",75.00%,x,Obama ,Clinton,Solid D,
22,New York,15,44,Jose E. Serrano,D,"124,469","5,205",0,96.00%,4.00%,0.00%,92.00%,88.60%,3.40%,"191,894",67.60%,x,Obama ,Clinton,Solid D,
,,,,,,,,,,,,,,,,,,,,,